id;name;description;code
1;Balanced;Drives Account Metal;user-centric Account
2;deposit Illinois maroon;Car;Integrated
3;Small Gorgeous compressing;Dinar Costa mission-critical;Assurance Principal
4;mission-critical Intelligent;User-centric value-added Drive;Balboa
5;clicks-and-mortar Money THX;parse;expedite Home Saint
6;EXE;Fresh;Norway 1080p
7;South;Lanka synthesizing;optical Account navigate
8;AGP cutting-edge Small;Chips bricks-and-clicks;Alabama Officer payment
9;Identity ivory;Ports Bike;Small integrate
10;models Sudan Executive;Iowa;Principal pixel Rubber
