id;name;description;code
1;moratorium Oregon;HDD secured Pennsylvania;Direct Branding
2;holistic;Frozen motivating;wireless bleeding-edge Intranet
3;optimal deposit cross-platform;reboot deposit;transmitting
4;Progressive;system-worthy;Borders Lead
5;reboot Program Awesome;calculating Handmade;pixel Chair content
6;Colon regional;proactive web-readiness;SCSI
7;modular Operative;architectures silver;Rustic synergies Games
8;multi-byte haptic;Corporate SSL generating;global generating
9;orchid holistic;intermediate;eyeballs Rustic
10;yellow;Frozen;Sleek
