id;name;description;code
1;leverage synthesize Refined;Strategist;Executive Knoll reboot
2;viral Silver invoice;Bike stable Rustic;Customer forecast
3;complexity;Director Berkshire;Virginia one-to-one
4;Gourde maroon strategy;mobile experiences;lime deposit Central
5;Human;frame;Producer Soap
6;SCSI applications moratorium;Sleek Branding Movies;bottom-line
7;invoice;Oregon online Designer;Kyrgyz Florida bypass
8;initiatives Refined;Account online;virtual
9;back-end online;architecture;Metal mobile Dynamic
10;Reverse-engineered Shoes violet;Kansas Associate;User-centric Human
