id;name;description;code
1;Frozen encoding Market;visualize Borders Turnpike;Tools
2;Harbors;Assistant Accounts;hacking bandwidth-monitored
3;calculate convergence;Investor hard online;Gloves Rubber content
4;Generic payment Mouse;invoice;New
5;bus Borders;Borders e-tailers payment;strategy hybrid Jewelery
6;implement Specialist;Markets deliverables;Fish Peso
7;Granite;Row;withdrawal Creative primary
8;Avon reboot national;SMTP Handmade International;Total facilitate transmit
9;17(E.U.A.-17) Refined Gloves;portals Bedfordshire auxiliary;Engineer
10;Fundamental Interactions;white infomediaries transmit;calculate real-time interfaces
