id;name;description;code
1;Account Krona Shirt;Tools Assurance Tactics;up context-sensitive
2;Money web-readiness Generic;interfaces Market enable;Bypass
3;Montana Island Lesotho;Operations Accounts Corporate;THX Michigan
4;User-friendly Washington;bleeding-edge;back-end Bacon
5;Savings;Avon Computer;Paradigm website
6;microchip;syndicate Vermont;Bacon
7;wireless;Buckinghamshire Orchestrator;Analyst Unbranded Metrics
8;maximized Delaware;services Renminbi International;quantifying Movies
9;Games parsing Avon;white;Concrete SCSI withdrawal
10;Bedfordshire monetize architecture;Generic program management;back 24/7 Berkshire
