id;name;description;code
1;overriding;Rhode optimal Minnesota;Oman state
2;optical;Music generating Distributed;Forks
3;Human Soft;Concrete Concrete Lead;driver Account
4;Customer;Account transmitting;Developer
5;Infrastructure JSON;Tasty Awesome copying;efficient world-class
6;haptic Wooden;innovate flexibility Automotive;Serbia
7;Iowa Shoes;Account Bedfordshire;fuchsia
8;implement Developer;Chilean;Incredible Handmade envisioneer
9;Soft Frozen;quantifying cyan;Table Games
10;Music Shoes;CSS invoice Lanka;IB metrics
