id;name;description;code
1;Shirt XSS;paradigms;Accounts Texas impactful
2;SDR;Franc Regional invoice;Island Card
3;robust generate reboot;Cotton Ball;Montana bluetooth wireless
4;supply-chains virtual gold;XSS;reboot Home Applications
5;Generic Senior;systemic;deposit client-server
6;Kids orchid Orchestrator;SQL SSL Yuan;Kiribati
7;Borders optical payment;Serbia Toys;hybrid Berkshire Brand
8;feed Internal;EXE;Shirt azure
9;Neck transmitter;application;Flats Practical
10;concept Vermont Internal;Key;bleeding-edge Gloves blue
